ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
Haiti,HTI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Honduras,HND,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Hungary,HUN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Iceland,ISL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
India,IND,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Indonesia,IDN,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Iran,IRN,2017.0,YES,2017.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Iraq,IRQ,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,NO,YES,YES,YES,YES
Ireland,IRL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Israel,ISR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Italy,ITA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Jamaica,JAM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Japan,JPN,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Jordan,JOR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Kazakhstan,KAZ,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Kenya,KEN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Kiribati,KIR,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Kuwait,KWT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Kyrgyzstan,KGZ,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Lao People's Dem. Rep.,LAO,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Latvia,LVA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Lebanon,LBN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Lesotho,LSO,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Liberia,LBR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Libya,LBY,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,NO,YES,YES,YES,YES
Lithuania,LTU,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Luxembourg,LUX,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Madagascar,MDG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Malawi,MWI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Malaysia,MYS,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Maldives,MDV,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Mali,MLI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Malta,MLT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Marshall Isds,MHL,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
